aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
tadpole= मोठे डोके व छोटे शेपूट अशा स्वरूपातील बेडकाची अवस्था, , |
taenia= डोक्याला बांधायची फीत, , |
taffeta= एक प्रकारचे चमकदार रेशमी कापड, , |
tag= लेबल, , |
tail= शेपटी, शेपूट, पुछ्य|
tail= काही वासरांना लाभणारी मर्यादित मालकी, , |
tailback= रहदारीतील अडथळ्यामुळे वाहने,इ.चीमागे पसरत गेलेली रांग, , |
tail board= ट्रक,गाडी,इ.चीमागील बाजूची फळी, , |
tail end= शेवटचा भाग, , |
tail gate= धरणातील पाण्याच्या प्रवाहावरनियंत्रण राखण्यासाठी वापरण्यात येणारा खालचा दरवाजा, , |
tailor= शिंपी, , |
tailpiece= पुस्तकाच्या किंवा पुस्तकातील प्रकरणाच्या शेवटी रिकामी जागा असल्यास ती भरून काढण्यासाठी काढलेले चित्र, , |
